"","rules","support","confidence","lift"
"3","{76,81} => {L}",0.00105163298124646,0.615603413246648,1.2312068264933
"79","{13,236} => {L}",0.00152550412439118,0.608547166328226,1.21709433265645
"1","{412,76} => {L}",0.000926455106030982,0.592132505175983,1.18426501035197
"42","{13,432} => {L}",0.00103867556717609,0.58964928411927,1.17929856823854
"43","{236,432} => {L}",0.00127352869720143,0.587281263337601,1.1745625266752
"48","{236,41} => {L}",0.00119532144799102,0.585780700759723,1.17156140151945
"5","{51,76} => {L}",0.00105672339391696,0.579347963973107,1.15869592794621
"61","{105,236} => {L}",0.00138598054074066,0.579135647297689,1.15827129459538
"28","{2,236} => {L}",0.00100512512002962,0.579045587843242,1.15809117568648
"20","{254,27} => {W}",0.00110762752062196,0.577442702050664,1.15488540410133
"86","{12,236} => {L}",0.0015717806032139,0.576557460533016,1.15311492106603
"70","{134,236} => {L}",0.00139454168932286,0.576084878608297,1.15216975721659
"87","{236,55} => {L}",0.0015988523433252,0.576025341780594,1.15205068356119
"27","{11,236} => {L}",0.000910721103231255,0.575270388775212,1.15054077755042
"56","{122,35} => {W}",0.00126265372467809,0.574965757032979,1.14993151406596
"55","{35,63} => {W}",0.00126774413734859,0.572817564035546,1.14563512807109
"6","{412,8} => {L}",0.000941263579254254,0.572796395381583,1.14559279076317
"89","{236,78} => {L}",0.00164258361581267,0.570934534341322,1.14186906868264
"67","{13,201} => {L}",0.00107222601432257,0.570127952755906,1.14025590551181
"2","{202,76} => {L}",0.000974814026400731,0.569863384282429,1.13972676856486
"93","{236,61} => {L}",0.00188993139512015,0.569317627378546,1.13863525475709
"35","{29,427} => {W}",0.00141883684070479,0.568936722954166,1.13787344590833
"46","{107,236} => {L}",0.00132790355981813,0.568386649499851,1.1367732989997
"24","{115,254} => {W}",0.00130036905491861,0.567562108664916,1.13512421732983
"97","{236,412} => {L}",0.00431944653331328,0.567485408560311,1.13497081712062
"16","{40,50} => {W}",0.00090655622013721,0.567414916727009,1.13482983345402
"57","{103,35} => {W}",0.00142600969492231,0.56686902133922,1.13373804267844
"51","{236,238} => {L}",0.00128579196408945,0.566001222244856,1.13200244448971
"38","{236,39} => {L}",0.00101322350382359,0.565397030342156,1.13079406068431
"8","{51,8} => {L}",0.00108310098684591,0.565269894940225,1.13053978988045
"33","{103,427} => {W}",0.00106482177771093,0.56507858546169,1.13015717092338
"104","{103,254} => {W}",0.00291796337216701,0.564073891845954,1.12814778369191
"34","{427,53} => {W}",0.00103173409535268,0.563716814159292,1.12743362831858
"68","{201,236} => {L}",0.00223492254474357,0.563667133520075,1.12733426704015
"22","{115,122} => {W}",0.00102756921225864,0.5631498858737,1.1262997717474
"13","{150,81} => {L}",0.0012781563450837,0.563098878695209,1.12619775739042
"49","{41,61} => {L}",0.000995407059476844,0.563089005235602,1.1261780104712
"81","{13,99} => {L}",0.00110947857977486,0.562793427230047,1.12558685446009
"36","{157,427} => {W}",0.00172403021854067,0.562764350453172,1.12552870090634
"100","{254,63} => {W}",0.00262457049643093,0.56270463339617,1.12540926679234
"10","{31,412} => {L}",0.00092761201800155,0.562587706988493,1.12517541397699
"29","{161,254} => {W}",0.00131610305771834,0.562222002569932,1.12444400513986
"92","{121,236} => {L}",0.00184134109235628,0.562204168138467,1.12440833627693
"90","{104,236} => {L}",0.0015870518412254,0.561982793936911,1.12396558787382
"26","{115,40} => {W}",0.00135335562317063,0.561917571332501,1.123835142665
"65","{103,37} => {W}",0.00137765077455256,0.561698113207547,1.12339622641509
"44","{107,13} => {L}",0.000941032196860141,0.561430149088901,1.1228602981778
"101","{40,63} => {W}",0.000986614528500526,0.561200315872598,1.1224006317452
"94","{236,43} => {L}",0.00186633039092055,0.560722975321515,1.12144595064303
"59","{35,40} => {W}",0.00180200608535697,0.560691144708423,1.12138228941685
"32","{122,427} => {W}",0.00106921804319909,0.560596870071576,1.12119374014315
"77","{12,13} => {L}",0.0011916193296852,0.56033075835056,1.12066151670112
"96","{236,99} => {L}",0.00290847669400835,0.559861036878675,1.11972207375735
"21","{27,40} => {W}",0.00120434536136145,0.559677419354839,1.11935483870968
"23","{115,53} => {W}",0.00104006386154078,0.55949713716704,1.11899427433408
"74","{1,254} => {W}",0.00186864421486169,0.559434746467165,1.11886949293433
"102","{122,254} => {W}",0.00256741904508486,0.559189638663509,1.11837927732702
"75","{1,40} => {W}",0.00166016867776531,0.559149002493766,1.11829800498753
"91","{111,236} => {L}",0.00163078311371288,0.559010152284264,1.11802030456853
"15","{81,84} => {L}",0.001305228085195,0.558128030078164,1.11625606015633
"9","{64,8} => {L}",0.00112683225933339,0.558102223240889,1.11620444648178
"11","{31,81} => {L}",0.000969260848942004,0.558086863842259,1.11617372768452
"78","{104,13} => {L}",0.0013917651005935,0.558081276674708,1.11616255334942
"109","{254,40} => {W}",0.00381711535569259,0.55787765040073,1.11575530080146
"83","{13,81} => {L}",0.00345477052651064,0.557542942494399,1.1150858849888
"18","{101,40} => {W}",0.000921364693360482,0.557234816680661,1.11446963336132
"53","{238,412} => {L}",0.00266297997385379,0.556178417822452,1.1123568356449
"25","{115,29} => {W}",0.00127838772747782,0.555499698371204,1.11099939674241
"73","{1,53} => {W}",0.00135775188865879,0.555366269165247,1.11073253833049
"31","{427,63} => {W}",0.000933396577854391,0.555264969029594,1.11052993805919
"19","{254,90} => {W}",0.00100188576651203,0.554985901051013,1.10997180210203
"95","{236,25} => {L}",0.00191908557677846,0.554968216794915,1.10993643358983
"107","{29,53} => {W}",0.00297927970660712,0.554832593613996,1.10966518722799
"108","{254,29} => {W}",0.00338952069137059,0.554655257279164,1.10931051455833
"30","{236,45} => {L}",0.000915580133507641,0.55443463640185,1.1088692728037
"64","{120,37} => {W}",0.00134224926825318,0.554429895823378,1.10885979164676
"37","{114,236} => {L}",0.000923909899695732,0.554429325187448,1.1088586503749
"106","{254,53} => {W}",0.00277797702372826,0.554421611637035,1.10884322327407
"88","{143,254} => {W}",0.00219790136168539,0.554233035766381,1.10846607153276
"12","{150,412} => {L}",0.00121267512754954,0.554192661520567,1.10838532304113
"98","{236,64} => {L}",0.00519985654291565,0.554109031733116,1.10821806346623
"112","{40,64,67} => {W}",0.00136307368372341,0.554029906893633,1.10805981378727
"76","{13,22} => {L}",0.00107292016150491,0.55400238948626,1.10800477897252
"45","{107,55} => {L}",0.00105394680518759,0.553934087316065,1.10786817463213
"103","{122,40} => {W}",0.0029839073544894,0.553618957671503,1.10723791534301
"82","{13,412} => {L}",0.00335388780267709,0.553392127667698,1.1067842553354
"14","{412,84} => {L}",0.00130499670280088,0.553320906504464,1.10664181300893
"69","{236,245} => {L}",0.00138736883510534,0.553187563428361,1.10637512685672
"62","{105,99} => {L}",0.00092252160533105,0.553135405105438,1.10627081021088
"63","{154,37} => {W}",0.000963013524300936,0.552869287991498,1.105738575983
"40","{236,57} => {L}",0.00120295706699677,0.552791068580542,1.10558213716108
"66","{236,7} => {L}",0.00134479447458843,0.552629076732909,1.10525815346582
"105","{103,40} => {W}",0.0031044575818226,0.552412714097497,1.10482542819499
"54","{35,89} => {W}",0.00110461954949848,0.552098993870707,1.10419798774141
"41","{29,4} => {W}",0.00172379883614656,0.552097228397806,1.10419445679561
"110","{29,40} => {W}",0.00424262757846755,0.552023121387283,1.10404624277457
"58","{35,53} => {W}",0.00139315339495818,0.551980198019802,1.1039603960396
"111","{67,81} => {L}",0.000997952265812094,0.551675620363264,1.10335124072653
"17","{101,29} => {W}",0.000904473778590187,0.551495485327314,1.10299097065463
"47","{22,41} => {L}",0.000914885986325301,0.551464435146443,1.10292887029289
"80","{13,43} => {L}",0.00149588717794463,0.551338904997442,1.10267780999488
"84","{126,53} => {W}",0.00165137614678899,0.551077136900625,1.10215427380125
"60","{157,35} => {W}",0.00186285965500885,0.551060917180014,1.10212183436003
"99","{120,267} => {W}",0.00192949778451358,0.550901763889806,1.10180352777961
"39","{254,58} => {W}",0.00144266922729849,0.550795053003534,1.10159010600707
"71","{21,53} => {W}",0.00137880768652313,0.550790276365653,1.10158055273131
"50","{22,238} => {L}",0.0009199763989958,0.550692520775623,1.10138504155125
"4","{67,76} => {L}",0.00100443097284728,0.550678675631105,1.10135735126221
"85","{12,55} => {L}",0.00127908187466016,0.550652455423847,1.10130491084769
"7","{67,8} => {L}",0.00100628203200019,0.550436653588153,1.10087330717631
"52","{121,238} => {L}",0.00100558788481784,0.550405268490375,1.10081053698075
"72","{1,122} => {W}",0.00145400696461006,0.550166345648748,1.1003326912975
